,qu
29.60%,74.44444444
29.70%,74.47222222
29.80%,74.51388889
29.90%,74.55555556
30.00%,74.58333333
30.10%,74.62962963
30.20%,74.65277778
30.30%,74.69907407
30.40%,74.72222222
30.50%,74.76851852
30.60%,74.80555556
30.70%,74.83796296
30.80%,74.88425926
30.90%,74.91666667
31.00%,74.9537037
31.10%,74.97685185
31.20%,75
31.30%,75.0462963
31.40%,75.06944444
31.50%,75.11574074
31.60%,75.16203704
31.70%,75.20833333
31.80%,75.23148148
31.90%,75.27777778
32.00%,75.30555556
32.10%,75.34722222
32.20%,75.37037037
32.30%,75.39351852
32.40%,75.43981481
32.50%,75.47222222
32.60%,75.50925926
32.70%,75.53240741
32.80%,75.5787037
32.90%,75.61111111
33.00%,75.64814815
33.10%,75.6712963
33.20%,75.71759259
33.30%,75.74074074
33.40%,75.77777778
33.50%,75.81018519
33.60%,75.83333333
33.70%,75.87962963
33.80%,75.90277778
33.90%,75.94444444
34.00%,75.97222222
34.10%,76.01851852
34.20%,76.04166667
34.30%,76.08333333
34.40%,76.11111111
34.50%,76.15740741
34.60%,76.18055556
34.70%,76.22222222
34.80%,76.25
34.90%,76.27777778
35.00%,76.30555556
35.10%,76.34259259
35.20%,76.36574074
35.30%,76.38888889
35.40%,76.43518519
35.50%,76.45833333
35.60%,76.49305556
35.70%,76.52777778
35.80%,76.55092593
35.90%,76.57407407
36.00%,76.61111111
36.10%,76.63888889
36.20%,76.66666667
36.30%,76.70138889
36.40%,76.73611111
36.50%,76.75925926
36.60%,76.78240741
36.70%,76.8287037
36.80%,76.85185185
36.90%,76.875
37.00%,76.91666667
37.10%,76.94444444
37.20%,76.96759259
37.30%,77
37.40%,77.03703704
37.50%,77.05555556
37.60%,77.08333333
37.70%,77.11111111
37.80%,77.15277778
37.90%,77.17592593
38.00%,77.22222222
38.10%,77.22222222
38.20%,77.25694444
38.30%,77.29166667
38.40%,77.31481481
38.50%,77.36111111
38.60%,77.38425926
38.70%,77.40740741
38.80%,77.44444444
38.90%,77.47685185
39.00%,77.5
39.10%,77.53472222
39.20%,77.56944444
39.30%,77.59259259
39.40%,77.63888889
39.50%,77.66203704
39.60%,77.68518519
39.70%,77.70833333
39.80%,77.74305556
39.90%,77.77777778
40.00%,77.80555556
40.10%,77.83333333
40.20%,77.87037037
40.30%,77.89351852
40.40%,77.91666667
40.50%,77.96001157
40.60%,77.98611111
40.70%,78.00925926
40.80%,78.03240741
40.90%,78.05555556
41.00%,78.09027778
41.10%,78.125
41.20%,78.14814815
41.30%,78.1712963
41.40%,78.19444444
41.50%,78.24074074
41.60%,78.26388889
41.70%,78.28703704
41.80%,78.31018519
41.90%,78.35648148
